Pos,Competitor,NOC,Points,Targets Hit,10s,9s
1,1973,KOR,665,72,27,6
2,1978,KOR,660,72,26,5
3,83168,KOR,655,72,27,7
4,2253,USA,651,72,23,9
5,2187,KAZ,649,72,22,6
6,2143,SWE,646,72,25,8
7,83205,USA,643,72,21,8
8,300,AUS,642,72,20,6
9,80491,GBR,641,72,20,8
10,80471,BEL,640,72,25,6
11,500,FRA,639,72,25,4
12,83175,NED,638,71,24,5
13,83196,TUR,637,72,19,7
14,83195,TUR,636,72,23,5
15,83165,KAZ,635,72,22,7
16,394,CHN,635,72,20,6
17,2110,RUS,635,72,15,2
18,1918,ITA,634,72,23,10
19,1921,ITA,634,72,16,3
20,2035,NED,634,71,21,7
21,83185,POL,633,72,15,6
22,80476,CHN,632,72,23,13
23,1953,KAZ,632,72,23,4
24,83202,UKR,632,72,22,7
25,80488,FRA,632,72,18,3
26,83199,UKR,631,72,19,3
27,302,AUS,631,72,15,4
28,83190,SWE,629,72,20,7
29,83176,NED,627,72,23,4
30,1919,ITA,627,72,19,6
31,2235,USA,627,72,18,1
32,83194,TUR,626,72,16,6
33,83171,MEX,625,72,16,8
34,2111,SLO,624,72,15,4
35,80501,JPN,623,72,14,3
36,440,FIN,622,72,19,6
37,380,CAN,622,72,17,5
38,401,CHN,619,72,16,6
39,2108,RUS,618,72,23,8
40,2198,RUS,617,72,14,3
41,80478,CUB,616,72,21,7
42,83189,SWE,616,72,14,4
43,83201,UKR,615,72,11,2
44,1942,JPN,614,72,12,1
45,83178,NOR,613,72,19,6
46,83177,NOR,613,72,15,5
47,2040,NOR,613,72,13,7
48,83179,NZL,607,71,15,2
49,83184,POL,606,72,16,6
50,83164,JPN,604,72,16,4
51,304,AUS,603,72,15,5
52,471,FRA,603,72,12,6
53,80486,FIN,603,72,12,4
54,80495,GER,596,72,13,2
55,346,BHU,596,72,7,1
56,83180,NZL,596,71,10,3
57,80481,CUB,595,72,9,2
58,80484,ESA,588,72,8,2
59,2075,POR,572,72,9,4
60,80483,EGY,556,72,7,4
61,83206,VAN,546,72,11,4
62,83173,MRI,537,72,10,2
63,1957,KEN,500,72,4,0
64,80467,ASA,419,71,3,1
