Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41118,18 Sep,1973,KOR,172 – 98,80467,ASA
41119,18 Sep,83194,TUR,165 – 153,83171,MEX
41120,18 Sep,2110,RUS,168 – 147,83179,NZL
41121,18 Sep,83184,POL,157 – 155,394,CHN
41122,18 Sep,300,AUS,170 – 161,80481,CUB
41123,18 Sep,80488,FRA,171 – 163,2198,RUS
41124,18 Sep,80478,CUB,164 – 160,83202,UKR
41125,18 Sep,80491,GBR,160 – 155,83180,NZL
41126,18 Sep,2187,KAZ,166 – 149,80483,EGY
41127,18 Sep,83190,SWE,161 – 155,380,CAN
41128,18 Sep,83185,POL,166 – 164,1942,JPN
41129,18 Sep,83175,NED,163 – 160,80486,FIN
41130,18 Sep,2253,USA,158 – 145,83206,VAN
41131,18 Sep,83176,NED,161 – 155,440,FIN
41132,18 Sep,83178,NOR,158 – 149,2035,NED
41133,18 Sep,471,FRA,160 – 156,83196,TUR
41134,18 Sep,83168,KOR,169 – 141,83173,MRI
41135,18 Sep,1919,ITA,163 – 158,80501,JPN
41136,18 Sep,1921,ITA,168 – 158,83177,NOR
41137,18 Sep,304,AUS,154 – 146,83195,TUR
41138,18 Sep,2143,SWE,165 – 146,2075,POR
41139,18 Sep,401,CHN,163 – 161,302,AUS
41140,18 Sep,80476,CHN,164 – 155,83201,UKR
41141,18 Sep,80495,GER,163 – 161,500,FRA
41142,18 Sep,83205,USA,160 – 150,80484,ESA
41143,18 Sep,83199,UKR,164 – 153,2108,RUS
41144,18 Sep,1953,KAZ,158 – 156,83189,SWE
41145,18 Sep,80471,BEL,162 – 156,346,BHU
41146,18 Sep,1978,KOR,168 – 132,1957,KEN
41147,18 Sep,2235,USA,164 – 151,2111,SLO
41148,18 Sep,1918,ITA,166 – 158,2040,NOR
41149,18 Sep,83164,JPN,151 – 150,83165,KAZ
