Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
18000514,27 Jul 15:28,143339,GER,7 – 3,144969,KOR
18000515,27 Jul 14:10,111544,CAN,6 – 4,140936,BAN
18000516,27 Jul 12:52,111536,ITA,6 – 2,126848,KAZ
18000517,28 Jul 14:16,132752,BRA,7 – 1,135226,NED
18000518,28 Jul 11:40,143957,ISR,6 – 5,102875,IND
18000519,29 Jul 14:16,2504096,TPE,6 – 5,136070,TPE
18000520,28 Jul 10:22,126326,MAS,6 – 5,133130,CHN
18000521,28 Jul 19:28,134919,KOR,6 – 2,133798,FRA
18000522,29 Jul 11:40,134416,IND,6 – 5,124388,KOR
18000523,28 Jul 13:11,102879,JPN,6 – 5,145534,NED
18000524,28 Jul 18:10,141802,CHN,6 – 5,140989,BEL
18000525,29 Jul 18:10,144763,KAZ,6 – 4,145535,NED
18000526,29 Jul 10:22,121560,AUS,6 – 4,141803,CHN
18000527,29 Jul 12:58,136120,TUR,7 – 3,132453,AUS
18000528,29 Jul 16:52,126572,USA,6 – 5,134406,INA
18000529,28 Jul 16:52,111530,USA,6 – 0,143748,IND
