Pos,Competitor,NOC,Points,Targets Hit,10s,9s
1,1962,KOR,671,72,33,7
2,1992,ITA,667,72,34,14
3,83169,KOR,662,72,25,9
4,83170,KOR,661,72,24,6
5,2184,UKR,658,72,27,7
6,80502,JPN,654,72,28,6
7,82794,PRK,649,72,20,2
8,2159,TPE,647,72,19,8
9,83188,SWE,646,72,22,7
10,83203,UKR,644,72,23,5
11,80477,CHN,643,72,22,4
12,2158,TPE,640,72,17,5
13,2170,TUR,638,72,21,8
14,382,CHN,638,72,18,6
15,1887,INA,637,72,21,7
16,2207,USA,636,72,19,7
17,2173,TUR,636,72,12,6
18,2100,RSA,635,72,22,10
19,513,GER,635,72,20,6
20,564,GBR,635,72,16,4
21,83186,RUS,634,72,21,7
22,83204,USA,634,72,21,5
23,510,GER,634,72,17,6
24,2061,POL,633,72,26,7
25,390,CHN,633,72,19,10
26,83200,UKR,632,72,16,2
27,80468,AUS,630,72,21,7
28,83183,POL,630,72,16,3
29,80472,BLR,629,72,14,3
30,83193,TPE,628,72,21,6
31,527,GER,628,72,17,2
32,80469,AUS,628,72,14,6
33,504,GEO,627,72,14,3
34,83191,SWE,626,72,16,4
35,80490,FRA,625,72,16,5
36,80485,ESP,625,72,10,3
37,83166,KAZ,623,72,14,6
38,80494,GEO,623,71,15,3
39,83197,TUR,622,72,13,6
40,80500,JPN,621,72,14,4
41,353,BLR,620,72,15,4
42,80489,FRA,619,72,15,5
43,2214,USA,619,72,11,1
44,80496,GRE,618,72,17,5
45,2134,SWE,618,72,14,2
46,80492,GBR,618,72,10,3
47,80499,ITA,618,71,17,6
48,2102,RSA,615,72,14,3
49,80470,AUS,615,72,13,6
50,80473,BHU,614,71,16,6
51,2037,NOR,613,72,18,4
52,83181,PHI,613,72,15,4
53,80493,GEO,612,72,12,5
54,80480,CUB,612,72,10,3
55,80498,ITA,611,72,17,6
56,80479,CUB,611,72,14,2
57,80482,DEN,609,72,11,5
58,80487,FIN,608,72,15,5
59,80475,CHI,605,72,17,2
60,83182,POL,603,71,11,8
61,83172,MEX,597,72,16,5
62,83174,MYA,567,72,6,2
63,80474,CAF,490,71,8,3
64,83198,UGA,474,71,3,3
