Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
41214,17 Sep,1962,KOR,164 – 124,83198,UGA
41215,17 Sep,80469,AUS,160 – 151,504,GEO
41216,17 Sep,2102,RSA,154 – 153,2173,TUR
41217,17 Sep,80470,AUS,154 – 146,2207,USA
41218,17 Sep,2159,TPE,161 – 152,80482,DEN
41219,17 Sep,390,CHN,156 – 154,80500,JPN
41220,17 Sep,2061,POL,152 – 139,353,BLR
41221,17 Sep,83188,SWE,152 – 146,80479,CUB
41222,17 Sep,2184,UKR,163 – 155,83182,POL
41223,17 Sep,83183,POL,163 – 149,83166,KAZ
41224,17 Sep,83186,RUS,161 – 154,80496,GRE
41225,17 Sep,2158,TPE,158 – 140,80493,GEO
41226,17 Sep,83170,KOR,168 – 157,83172,MEX
41227,17 Sep,80472,BLR,163 – 162,80485,ESP
41228,17 Sep,564,GBR,156 – 145,2134,SWE
41229,17 Sep,2170,TUR,160 – 143,83181,PHI
41230,17 Sep,83169,KOR,167 – 134,83174,MYA
41231,17 Sep,83193,TPE,151 – 149,80490,FRA
41232,17 Sep,513,GER,159 – 155,80492,GBR
41233,17 Sep,382,CHN,160 – 145,2037,NOR
41234,17 Sep,80502,JPN,151 – 146,80475,CHI
41235,17 Sep,80468,AUS,166 – 158,80494,GEO
41236,17 Sep,83204,USA,162 – 152,2214,USA
41237,17 Sep,80480,CUB,159 – 155,80477,CHN
41238,17 Sep,82794,PRK,161 – 149,80487,FIN
41239,17 Sep,83200,UKR,166 – 157,83197,TUR
41240,17 Sep,510,GER,157 – 149,80489,FRA
41241,17 Sep,83203,UKR,157 – 144,80498,ITA
41242,17 Sep,1992,ITA,166 – 126,80474,CAF
41243,17 Sep,83191,SWE,147 – 146,527,GER
41244,17 Sep,80499,ITA,154 – 145,2100,RSA
41245,17 Sep,1887,INA,165 – 153,80473,BHU
