Match,Date/Time,Competitor,NOC,Result,Competitor,NOC
Match #1,18 Sep,Jang Yong-Ho,KOR,172 – 98,Kuresa Tupua,ASA
Match #2,18 Sep,Hasan Orbay,TUR,165 – 153,Juan Carlos Manjarrez,MEX
Match #3,18 Sep,Balzhinima Tsyrempilov,RUS,168 – 147,Peter Ebden,NZL
Match #4,18 Sep,Bartosz Mikos,POL,157 – 155,Fu Shengjun,CHN
Match #5,18 Sep,Simon Fairweather,AUS,170 – 161,Juan Carlos Stevens,CUB
Match #6,18 Sep,Jocelyn de Grandis,FRA,171 – 163,Yury Leontyev,RUS
Match #7,18 Sep,Ismely Arias,CUB,164 – 160,Ihor Parkhomenko,UKR
Match #8,18 Sep,Simon Needham,GBR,160 – 155,Ken Uprichard,NZL
Match #9,18 Sep,Stanislav Zabrodsky,KAZ,166 – 149,Essam Sayed,EGY
Match #10,18 Sep,Niklas Eriksson,SWE,161 – 155,Rob Rusnov,CAN
Match #11,18 Sep,Grzegorz Targoński,POL,166 – 164,Takayoshi Matsushita,JPN
Match #12,18 Sep,Wietse van Alten,NED,163 – 160,Miika Aulio,FIN
Match #13,18 Sep,Rod White,USA,158 – 145,François Latil,VAN
Match #14,18 Sep,Fred van Zutphen,NED,161 – 155,Jari Lipponen,FIN
Match #15,18 Sep,Bård Nesteng,NOR,158 – 149,Henk Vogels,NED
Match #16,18 Sep,Sébastien Flûte,FRA,160 – 156,Serdar Şatir,TUR
Match #17,18 Sep,Kim Cheong-Tae,KOR,169 – 141,Yehya Bundhun,MRI
Match #18,18 Sep,Ilario Di Buò,ITA,163 – 158,Yuji Hamano,JPN
Match #19,18 Sep,Michele Frangilli,ITA,168 – 158,Lars Erik Humlekjær,NOR
Match #20,18 Sep,Scott Hunter-Russell,AUS,154 – 146,Özdemir Akbal,TUR
Match #21,18 Sep,Magnus Petersson,SWE,165 – 146,Nuno Pombo,POR
Match #22,18 Sep,Tang Hua,CHN,163 – 161,Matt Gray,AUS
Match #23,18 Sep,Yang Bo,CHN,164 – 155,Viktor Kurchenko,UKR
Match #24,18 Sep,Christian Stubbe,GER,163 – 161,Lionel Torrés,FRA
Match #25,18 Sep,Vic Wunderle,USA,160 – 150,Cristóbal Merlos,ESA
Match #26,18 Sep,Serhiy Antonov,UKR,164 – 153,Bair Badyonov,RUS
Match #27,18 Sep,Vadim Shikarev,KAZ,158 – 156,Mattias Eriksson,SWE
Match #28,18 Sep,Nico Hendrickx,BEL,162 – 156,Jubzang Jubzang,BHU
Match #29,18 Sep,Oh Gyo-Mun,KOR,168 – 132,Dominic Rebelo,KEN
Match #30,18 Sep,Butch Johnson,USA,164 – 151,Peter Koprivnikar,SLO
Match #31,18 Sep,Matteo Bisiani,ITA,166 – 158,Martinus Grov,NOR
Match #32,18 Sep,Masafumi Makiyama,JPN,151 – 150,Aleksandr Li,KAZ
